"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.792317208E0,-3.697641769E0,3.363241845E0,1.867538699E0,5.335883352E0
2.802333208E0,-3.177338979E0,3.943103204E0,1.411602205E0,5.257011190E0
2.812350208E0,-3.402486017E0,4.383326622E0,2.128059346E0,5.942987460E0
2.822366208E0,-2.419985973E0,4.770777165E0,2.345814042E0,5.841189124E0
2.832383208E0,-1.203183904E0,4.890159767E0,1.955473952E0,5.402332128E0
2.842400208E0,-1.407870073E0,4.924946607E0,1.451226300E0,5.323838371E0
2.852416208E0,-2.159799494E0,5.356826048E0,1.339707326E0,5.929176577E0
2.862433208E0,-2.357357323E0,5.625733064E0,2.123593242E0,6.458765696E0
2.872450208E0,-3.176057854E0,5.974928198E0,2.284140827E0,7.141737168E0
2.882466208E0,-3.980671565E0,6.518263755E0,2.255154571E0,7.963619192E0
2.892483208E0,-4.478889422E0,7.001691665E0,2.409622075E0,8.653924842E0
2.902500208E0,-5.028172767E0,7.115098413E0,2.465647757E0,9.054643320E0
2.912515333E0,-5.266095387E0,7.121194720E0,2.623195428E0,9.237116927E0
2.922532333E0,-4.959517100E0,7.069209464E0,3.082886273E0,9.169226799E0
2.932548333E0,-4.532646384E0,6.569994072E0,3.083264295E0,8.556647946E0
2.942565333E0,-4.065564950E0,5.460173246E0,2.599314522E0,7.286888652E0
2.952582333E0,-3.093307473E0,4.307254931E0,2.337304882E0,5.795169564E0
2.962598333E0,-2.195678886E0,3.041432145E0,1.891000359E0,4.200856773E0
2.972615333E0,-1.170810940E0,1.550063540E0,6.778159627E-1,2.057408495E0
2.982632333E0,1.263190077E0,-2.551222050E-1,-2.130150310E0,2.489633880E0
2.992648333E0,5.592664136E0,-3.026674358E0,-6.785330653E0,9.299428040E0
3.002665333E0,9.088426107E0,-6.616734960E0,-9.340283811E0,1.461579872E1
3.012682333E0,8.759894448E0,-8.171424817E0,-7.318708402E0,1.403821310E1
3.022698333E0,6.442920043E0,-6.604103220E0,-2.590055748E0,9.582994668E0
3.032715333E0,5.182240468E0,-3.957600791E0,-2.586682782E0,7.014923243E0
3.042731333E0,5.407661156E0,-2.304435051E0,-5.056277994E0,7.753655089E0
3.052748333E0,5.636595436E0,-2.510909591E0,-5.149021851E0,8.036684709E0
3.062765333E0,4.428456894E0,-3.067939328E0,-2.867733880E0,6.103063148E0
3.072781333E0,2.866626125E0,-2.250116757E0,-1.372748772E0,3.894227773E0
3.082798333E0,1.311117365E0,-1.341202167E0,-1.852301147E0,2.636071231E0
3.092815333E0,2.815288156E-2,-2.874971271E0,-3.242333120E0,4.333471640E0
3.102831333E0,6.151756185E-1,-6.595568624E0,-4.719479249E0,8.133477172E0
3.112848333E0,2.959100425E0,-1.002170195E1,-3.908348816E0,1.115643204E1
3.122865333E0,4.481301691E0,-1.098094470E1,1.107338391E0,1.191173411E1
3.132881333E0,1.979455284E0,-8.745665833E0,5.527263613E0,1.053354438E1
3.142898333E0,-2.982703881E0,-3.862114005E0,7.750390792E0,9.158657350E0
3.152914333E0,-7.601581492E0,2.071693064E0,8.669191854E0,1.171455679E1
3.162931333E0,-1.060234099E1,7.017118959E0,2.385757542E0,1.293605164E1
